"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"0000B827EB72754D","","2018-07-30 11:11:30.777Z",1028715059, 868300000,1, 1,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",-77, +9.2,"408E2F58-00801800-021F66D2-14BC106F-4C"
"0000B827EB72754D","","2018-07-30 11:11:47.987Z",1045924707, 868300000,1, 1,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",-85, +9.8,"408E2F58-00801900-02583A80-E01376FA-6A"
"0000B827EB72754D","","2018-07-30 11:11:52.843Z",1050781531, 867300000,0, 4,"CRC_BAD", 34,"LORA",125000,"SF7"   ,"1/2",-108,-11.2,"84F1485B-19D568D0-34285EAA-39ADB083-57871706-7E47B7EE-D1200BCA-0122E673-2CD3"
"0000B827EB72754D","","2018-07-30 11:12:05.796Z",1063734875, 868500000,1, 2,"CRC_OK" , 17,"LORA",125000,"SF7"   ,"4/5",-75, +7.5,"408E2F58-00801A00-02D7E332-1590EB93-0A"
"0000B827EB72754D","","2018-07-30 11:12:24.581Z",1082520291, 868500000,1, 2,"CRC_OK" , 15,"LORA",125000,"SF7"   ,"4/5",-72, +6.8,"408E2F58-00801B00-028B6D95-2EC985"
"0000B827EB72754D","","2018-07-30 11:12:40.955Z",1098891708, 867700000,0, 6,"CRC_BAD",210,"LORA",125000,"SF7"   ,""   ,-113,-11.8,"4AA432B7-849DA41A-AC1B3FF2-BE1D9505-B6DD4F3B-1978602C-40BB1CDC-AD6BA523-B9AD5A94-9D4731AE-2F0CC2A9-0B9276AC-A9E7E6AC-910E0EA8-0DA7E57D-1A2DD96F-296C6D8C-71C521B2-C711039D-3E0442A7-3A45997D-B9A568B4-A2DC0B61-A6866045-35DE99F7-6BBA2662-F28F09D2-FE41E841-5B6A42C3-8D72DC3C-6E10237E-CB077ABC-F5EFAA05-EDBCC452-A38610F2-41694520-3E9975C1-5C91B8CD-3A23A756-4F1469DC-244B3301-45F11BE2-D60AE0B0-8EF25482-1C3BA66D-A4EDF42A-68E76FBF-648ED738-5A4AD13F-2F73BAAE-AC08D987-2BF4AF89-E408"
"0000B827EB72754D","","2018-07-30 11:12:47.765Z",1105701507, 868500000,1, 2,"CRC_OK" , 15,"LORA",125000,"SF7"   ,"4/5",-71, +7.8,"408E2F58-00801C00-020C6C1B-B5BDAD"
"0000B827EB72754D","","2018-07-30 11:13:04.330Z",1122267419, 868300000,1, 1,"CRC_OK" , 15,"LORA",125000,"SF7"   ,"4/5",-73, +8.8,"408E2F58-00801D00-0265627D-0F1E1D"
"0000B827EB72754D","","2018-07-30 11:13:11.698Z",1129636659, 868500000,1, 2,"CRC_OK" , 15,"LORA",125000,"SF7"   ,"4/5",-71, +7.2,"408E2F58-00801E00-02FE5536-FA33A4"
"0000B827EB72754D","","2018-07-30 11:13:26.707Z",1144643691, 868500000,1, 2,"CRC_OK" , 15,"LORA",125000,"SF7"   ,"4/5",-60, +6.5,"408E2F58-00801F00-0275DEEE-4A7126"
"0000B827EB72754D","","2018-07-30 11:13:36.102Z",1154039363, 868500000,1, 2,"CRC_OK" , 15,"LORA",125000,"SF7"   ,"4/5",-67, +7.0,"408E2F58-00802000-029957C8-D4115F"
"0000B827EB72754D","","2018-07-30 11:13:48.734Z",1166670387, 868500000,1, 2,"CRC_OK" , 15,"LORA",125000,"SF7"   ,"4/5",-69, +7.8,"408E2F58-00802100-02499583-529CF2"
"0000B827EB72754D","","2018-07-30 11:13:55.552Z",1173488772, 867900000,0, 7,"CRC_BAD", 74,"LORA",125000,"SF7"   ,""   ,-113,-11.8,"26176916-750E2EF4-98768E6D-BFF3AF9F-6F30BA89-4D9CB04D-ADF9A91D-4E764602-C0CB457B-1B5A299D-CB081D33-48F6F54C-B713ED93-E245F55A-AD11EA43-AE16ECF6-378AF07B-557D3ABE-0129"
"0000B827EB72754D","","2018-07-30 11:14:10.872Z",1188809627, 868500000,1, 2,"CRC_OK" , 15,"LORA",125000,"SF7"   ,"4/5",-72, +8.8,"408E2F58-00802200-0240A40A-7C8DCC"
"0000B827EB72754D","","2018-07-30 11:14:22.584Z",1200522051, 868300000,1, 1,"CRC_OK" , 15,"LORA",125000,"SF7"   ,"4/5",-65, +8.0,"408E2F58-00802300-02168E52-FF232F"
"0000B827EB72754D","","2018-07-30 11:14:35.879Z",1213817251, 868300000,1, 1,"CRC_OK" , 15,"LORA",125000,"SF7"   ,"4/5",-73, +9.5,"408E2F58-00802400-02CAD7EB-B154C6"
